FIPS,County,State,Longitude,Latitude,Population,cases
5059,Hot Spring,Arkansas,-92.9461,34.3177,33142,0
48227,Howard,Texas,-101.4356,32.3062,33127,0
36099,Seneca,New York,-76.8238,42.7811,33125,0
38089,Stark,North Dakota,-102.6551,46.8107,33116,0
18077,Jefferson,Indiana,-85.4386,38.7858,33074,0
17011,Bureau,Illinois,-89.5287,41.4041,33027,0
18051,Gibson,Indiana,-87.5846,38.3119,32986,0
29107,Lafayette,Missouri,-93.7855,39.0655,32974,0
18023,Clinton,Indiana,-86.4751,40.3017,32967,0
28107,Panola,Mississippi,-89.9506,34.3639,32965,0
47183,Weakley,Tennessee,-88.7178,36.2983,32959,0
1109,Pike,Alabama,-85.9409,31.8027,32953,0
48241,Jasper,Texas,-94.0251,30.744,32807,0
54025,Greenbrier,West Virginia,-80.453,37.9469,32688,0
17137,Morgan,Illinois,-90.2015,39.7156,32621,0
24019,Dorchester,Maryland,-76.0126,38.4829,32612,0
39079,Jackson,Ohio,-82.6184,39.0196,32588,0
47079,Henry,Tennessee,-88.3013,36.3318,32345,0
48189,Hale,Texas,-101.8269,34.0705,32247,1
16051,Jefferson,Idaho,-112.3113,43.8201,32234,0
47025,Claiborne,Tennessee,-83.6604,36.4859,32221,0
45023,Chester,South Carolina,-81.1595,34.692,32177,0
22039,Evangeline,Louisiana,-92.4059,30.7289,32162,0
20111,Lyon,Kansas,-96.1526,38.4562,32145,0
29167,Polk,Missouri,-93.4005,37.6165,32109,0
22053,Jefferson Davis,Louisiana,-92.8141,30.2677,32083,0
30047,Lake,Montana,-114.0894,47.6459,32073,0
1059,Franklin,Alabama,-87.8437,34.4417,31978,0
13123,Gilmer,Georgia,-84.4556,34.6912,31976,0
2110,Juneau,Alaska,-134.1733,58.4546,31969,0
54045,Logan,West Virginia,-81.9354,37.8313,31826,0
21157,Marshall,Kentucky,-88.3294,36.8835,31728,0
41045,Malheur,Oregon,-117.6232,43.1934,31701,0
29209,Stone,Missouri,-93.456,36.7469,31697,0
56033,Sheridan,Wyoming,-106.8792,44.79,31585,0
51033,Caroline,Virginia,-77.3472,38.0267,31541,0
33007,Coos,New Hampshire,-71.3056,44.6896,31386,0
51009,Amherst,Virginia,-79.1452,37.6048,31385,0
8029,Delta,Colorado,-107.8629,38.8614,31353,0
28115,Pontotoc,Mississippi,-89.0374,34.2254,31312,0
48449,Titus,Texas,-94.9657,33.2166,31284,0
23029,Washington,Maine,-67.6287,45.0307,31261,0
26063,Huron,Michigan,-83.019,43.8333,31258,0
6035,Lassen,California,-120.5943,40.6736,31177,0
20125,Montgomery,Kansas,-95.7429,37.1925,31143,0
26035,Clare,Michigan,-84.8478,43.9879,31109,0
51145,Powhatan,Virginia,-77.9152,37.5502,31074,0
45027,Clarendon,South Carolina,-80.2164,33.6658,31037,0
31001,Adams,Nebraska,-98.5012,40.5245,31034,0
48025,Bee,Texas,-97.7412,28.4174,31000,0
18055,Greene,Indiana,-86.9621,39.0364,30954,0
55123,Vernon,Wisconsin,-90.8344,43.5939,30915,0
13195,Madison,Georgia,-83.209,34.1278,30914,0
27119,Polk,Minnesota,-96.4019,47.7739,30905,0
18169,Wabash,Indiana,-85.794,40.8457,30901,0
8117,Summit,Colorado,-106.1164,39.6342,30857,0
40089,McCurtain,Oklahoma,-94.7713,34.1154,30825,0
55121,Trempealeau,Wisconsin,-91.3585,44.304,30786,0
27047,Freeborn,Minnesota,-93.3488,43.6738,30752,0
13143,Haralson,Georgia,-85.211,33.7942,30720,0
21177,Muhlenberg,Kentucky,-87.142,37.2158,30712,0
48015,Austin,Texas,-96.2779,29.887,30712,0
21021,Boyle,Kentucky,-84.8668,37.6244,30708,0
42047,Elk,Pennsylvania,-78.6491,41.4251,30703,0
27021,Cass,Minnesota,-94.3254,46.9496,30688,0
45053,Jasper,South Carolina,-81.0317,32.4375,30658,0
48273,Kleberg,Texas,-97.7273,27.4337,30629,0
47131,Obion,Tennessee,-89.1488,36.3582,30570,0
39065,Hardin,Ohio,-83.6595,40.6616,30527,0
13305,Wayne,Georgia,-81.9168,31.5515,30519,0
45089,Williamsburg,South Carolina,-79.7277,33.6199,30517,0
47055,Giles,Tennessee,-87.0348,35.2021,30442,0
51117,Mecklenburg,Virginia,-78.3627,36.6804,30431,0
50005,Caledonia,Vermont,-72.1022,44.4647,30425,0
48185,Grimes,Texas,-95.9855,30.5435,30385,0
40115,Ottawa,Oklahoma,-94.8104,36.8355,30360,0
46093,Meade,South Dakota,-102.7169,44.5668,30297,0
55029,Door,Wisconsin,-87.3154,44.9452,30279,0
28011,Bolivar,Mississippi,-90.8805,33.7971,30163,0
23007,Franklin,Maine,-70.444,44.974,30145,0
17157,Randolph,Illinois,-89.8252,38.0521,30142,0
20113,McPherson,Kansas,-97.648,38.3917,30130,0
54051,Marshall,West Virginia,-80.6634,39.8606,30129,0
56029,Park,Wyoming,-109.5879,44.5205,30109,0
21121,Knox,Kentucky,-83.854,36.8906,30034,0
21163,Meade,Kentucky,-86.217,37.9697,30032,0
36095,Schoharie,New York,-74.4421,42.5882,29979,0
22047,Iberville,Louisiana,-91.3495,30.2586,29950,0
37053,Currituck,North Carolina,-76.0079,36.405,29612,0
50017,Orange,Vermont,-72.3768,44.0056,29594,0
37017,Bladen,North Carolina,-78.5637,34.6146,29591,0
51173,Smyth,Virginia,-81.537,36.8438,29585,0
27115,Pine,Minnesota,-92.7413,46.1208,29411,0
49039,Sanpete,Utah,-111.5763,39.3739,29209,0
37039,Cherokee,North Carolina,-84.0635,35.1339,29197,0
1093,Marion,Alabama,-87.8871,34.1366,29190,0
8087,Morgan,Colorado,-103.8097,40.2627,29186,0
26105,Mason,Michigan,-86.25,43.9952,29177,0
13261,Sumter,Georgia,-84.197,32.0399,29174,0
39053,Gallia,Ohio,-82.3169,38.8247,29162,0
51035,Carroll,Virginia,-80.7339,36.7316,29158,0
13087,Decatur,Georgia,-84.5791,30.8783,29118,0
28001,Adams,Mississippi,-91.3535,31.4829,29098,0
16039,Elmore,Idaho,-115.4693,43.354,29046,0
18137,Ripley,Indiana,-85.2624,39.1035,29039,0
47115,Marion,Tennessee,-85.6221,35.1293,29010,0
27079,Le Sueur,Minnesota,-93.7301,44.3714,28936,0
28099,Neshoba,Mississippi,-89.1176,32.7535,28927,0
48363,Palo Pinto,Texas,-98.313,32.7532,28920,0
13207,Monroe,Georgia,-83.9187,33.0139,28919,0
26007,Alpena,Michigan,-83.6282,45.0348,28908,0
45067,Marion,South Carolina,-79.3625,34.0801,28900,0
39047,Fayette,Ohio,-83.4561,39.5599,28880,0
20051,Ellis,Kansas,-99.3173,38.9147,28870,0
39161,Van Wert,Ohio,-84.5861,40.8554,28824,0
24023,Garrett,Maryland,-79.2729,39.5289,28713,0
13085,Dawson,Georgia,-84.1706,34.4443,28704,0
54029,Hancock,West Virginia,-80.5739,40.5219,28658,0
6021,Glenn,California,-122.3919,39.5981,28623,0
48067,Cass,Texas,-94.3435,33.0775,28582,0
46029,Codington,South Dakota,-97.1886,44.9779,28556,0
29207,Stoddard,Missouri,-89.9443,36.8556,28547,0
